"","total_productos","productos_distintos","dias_activos","vegetales","carne","congelados","embutido","lacteos","gluten","pescaderia","latas","sepe","desayuno","bebida","limpieza","higiene","precocinados"
"Cluster 1",36.9624920757907,31.947312812566,1.4755934352328,4.22603366908502,1.56754948228499,1.00989645699796,2.19377333239417,4.91906740860745,0.379763330281045,0.603085158836374,4.31084031837712,4.18134112840741,4.04275551172783,2.85109530182433,4.3741283369726,1.81865887159259,0.434528421497499
"Cluster 2",307.317169614984,127.781061394381,3.45681581685744,43.0112382934443,14.0882414151925,6.84245577523413,21.0703433922997,38.4482830385016,2.98293444328824,4.6792924037461,29.8237252861603,23.6534859521332,30.4285119667014,13.1098855359001,20.6932362122789,10.5889698231009,3.19001040582726
"Cluster 3",134.777647844972,83.1095890410959,2.76027397260274,18.3027063147344,6.723521550284,3.76904443701971,9.59380220514534,17.9998329435349,1.59522218509856,2.39141329769462,15.4792014700969,13.5008352823254,15.0560474440361,7.6958737053124,12.2750584697628,6.16864350150351,1.76261276311393
"Fichero completo",91.6457461645746,55.7014013415687,2.02683137411171,12.0825972415931,4.26594496468973,2.36160368377942,6.16302494963583,11.952580195258,0.978813840738527,1.51065949392309,9.98476898895309,8.72267605321999,9.76843550065307,5.22640632264063,8.20409112040911,3.90449624759248,1.0796307365345
